address_hex;address_dec;group;float_no;value_little
'00004C00';19456;1;68;-0.0012655692407861351966857910
'00004C00';19456;1;69;-0.0010706360917538404464721680
'00004C00';19456;1;70;-0.0007814622949808835983276367
'00004C00';19456;1;71;-0.0008485101279802620410919189
'00004C00';19456;1;72;-0.0007444366929121315479278564
'00004C00';19456;1;73;-0.0006742942496202886104583740
'00004C00';19456;1;74;-0.0007574572227895259857177734
'00004C00';19456;1;75;-0.0007314410177059471607208252
'00004C00';19456;1;76;-0.0007522018859162926673889160
'00004C00';19456;1;77;-0.0008394354954361915588378906
'00004C00';19456;1;78;-0.0009405238088220357894897461
'00004C00';19456;1;79;-0.0009498233557678759098052979
'00004C00';19456;1;80;-0.0010371800744906067848205566
'00004C00';19456;1;81;-0.0012318163644522428512573242
'00004C00';19456;1;82;-0.0011814907193183898925781250
'00004C00';19456;1;83;-0.0012197968317195773124694824
'00004C00';19456;1;84;-0.0013306179316714406013488770
'00004C00';19456;1;85;-0.0013083621161058545112609863
'00004C00';19456;1;86;-0.0013237454695627093315124512
'00004C00';19456;1;87;-0.0013434829888865351676940918
'00004C00';19456;1;88;-0.0012974906712770462036132812
'00004C00';19456;1;89;-0.0011377435876056551933288574
'00004C00';19456;1;90;-0.0011184146860614418983459473
'00004C00';19456;1;91;-0.0011228701332584023475646973
'00004C00';19456;1;92;-0.0010729855857789516448974609
'00004C00';19456;1;93;-0.0011279918253421783447265625
'00004C00';19456;1;94;-0.0010778673458844423294067383
'00004C00';19456;1;95;-0.0010441882768645882606506348
'00004C00';19456;1;96;-0.0010603945702314376831054688
'00004C00';19456;1;97;-0.0009782015113160014152526855
'00004C00';19456;1;98;-0.0009716642671264708042144775
'00004C00';19456;1;99;-0.0009910787921398878097534180
'00004C00';19456;1;100;-0.0009464830509386956691741943
'00004C00';19456;1;101;-0.0009545066859573125839233398
'00004C00';19456;1;102;-0.0009321132674813270568847656
'00004C00';19456;1;103;-0.0008996030665002763271331787
'00004C00';19456;1;104;-0.0009033763199113309383392334
'00004C00';19456;1;105;-0.0008729218970984220504760742
'00004C00';19456;1;106;-0.0008452048641629517078399658
'00004C00';19456;1;107;-0.0008136330870911478996276855
'00004C00';19456;1;108;-0.0007844723877497017383575439
'00004C00';19456;1;109;-0.0007356455316767096519470215
'00004C00';19456;1;110;-0.0006835942622274160385131836
'00004C00';19456;1;111;-0.0006548304227180778980255127
'00004C00';19456;1;112;-0.0006044462788850069046020508
'00004C00';19456;1;113;-0.0005460559041239321231842041
'00004C00';19456;1;114;-0.0004937967169098556041717529
'00004C00';19456;1;115;-0.0004376894794404506683349609
'00004C00';19456;1;116;-0.0003706693241838365793228149
'00004C00';19456;1;117;-0.0003128127718809992074966431
'00004C00';19456;1;118;-0.0002558748237788677215576172
'00004C00';19456;1;119;-0.0001937748747877776622772217
'00004C00';19456;1;120;-0.0001520632504252716898918152
'00004C00';19456;1;121;-0.0001132869001594372093677521
'00004C00';19456;1;122;-0.0000747786616557277739048004
'00004C00';19456;1;123;-0.0000496893953823018819093704
'00004C00';19456;1;124;-0.0000309743627440184354782104
'00004C00';19456;1;125;-0.0000164430421136785298585892
'00004C00';19456;1;126;-0.0000074133931775577366352081
'00004C00';19456;1;127;-0.0000025697481760289520025253
'00004C00';19456;1;128;-0.0000004336950780725601362064
'00004C00';19456;1;129;-0.0000000000171725966779945338
'00004C00';19456;1;130;-0.0000000028528290840768022463
'00004C00';19456;1;131;-0.0000000138914533209799628821
'00004C00';19456;1;132;0.0000000186648794198163159308
'00004C00';19456;1;133;0.0000000443991901022400270449
'00004C00';19456;1;134;0.0000000730368796553193533327
'00004C00';19456;1;135;0.0000005117476007399091031402
'00004C00';19456;1;136;0.0000010014166491600917652249
'00004C00';19456;1;137;0.0000016484173102071508765221
'00004C00';19456;1;138;0.0000019645726752059999853373
'00004C00';19456;1;139;0.0000032029552130552474409342
'00004C00';19456;1;140;0.0000038046955523896031081676
'00004C00';19456;1;141;0.0000057935590120905544608831
'00004C00';19456;1;142;0.0000087689686552039347589016
'00004C00';19456;1;143;0.0000085537258200929500162601
'00004C00';19456;1;144;0.0000169660816027317196130753
'00004C00';19456;1;145;-0.0000007311684271371632348746
'00004C00';19456;1;146;-0.0000428928724431898444890976
'00004C00';19456;1;147;-0.0001431426790077239274978638
'00004C00';19456;1;148;-0.0003484720073174685239791870
'00004C00';19456;1;149;-0.0008686803048476576805114746
'00004C00';19456;1;150;-0.0016572924796491861343383789
'00004C00';19456;1;151;-0.0022737148683518171310424805
'00004C00';19456;1;152;-0.0030979153234511613845825195
'00004C00';19456;1;153;-0.0042376876808702945709228516
'00004C00';19456;1;154;-0.0058419601991772651672363281
'00004C00';19456;1;155;-0.0081484327092766761779785156
